ovrRating,injuryCount,divName,cityName,teamId,logoId,abbrName,userName,nickName,offScheme,secondaryColor,primaryColor,defScheme,displayName,personName,teamNameFull
82,0,AFC East,London,759955483,21,LON,feindy23,Pats,1,13111342,795456,17,Patriots,Feindy,London Patriots (Feindy)
84,0,AFC East,London,759955459,167,LON,deemjet95,Monarchs,6,12622667,2901918,11,Monarchs,Nadeem,London Monarchs (Nadeem)
85,0,AFC East,Miami,759955471,11,MIA,shootball2369vni,Phins,2,16534530,36503,13,Dolphins,Kunal,Miami Dolphins (Kunal)
85,0,AFC East,New York,759955478,17,NYJ,mobile_bet,Jets,0,16777215,1136448,19,Jets,Nafiz,New York Jets (Nafiz)
87,0,AFC North,Baltimore,759955486,24,BAL,komreezy_,Ravens,6,0,2364255,18,Ravens,Komran,Baltimore Ravens (Komran)
82,0,AFC North,Louisville,759955458,168,LOU,animeashe14,Mounties,6,15668257,529465,11,Mounties,Ben,Louisville Mounties (Ben)
82,0,AFC North,Toronto,759955461,169,TOR,YooSoapy,Night Hawks,1,15951139,4731794,11,Night Hawks,Mikey,Toronto Night Hawks (Mikey)
84,0,AFC North,Vancouver,759955489,180,VAN,Wolvzey,Snowhawks,0,16294440,4084842,13,Snowhawks,Tyler,Vancouver Snowhawks (Tyler)
82,0,AFC South,Buenos Aires,759955468,147,BA,Sw00shEEM,Condors,10,5723991,3214402,11,Condors,Raheem,Buenos Aires Condors (Raheem)
85,0,AFC South,Honolulu,759955477,16,HNL,NotKayKay,Jags,10,0,25974,17,Jaguars,Kayvon,Honolulu Jaguars (Kayvon)
83,0,AFC South,Tennessee,759955491,29,TEN,The_Rublicon,Titans,0,5426,4494802,11,Titans,Zach,Tennessee Titans (Zach)
87,0,AFC South,Tokyo,759955490,138,TKY,oAD12o,Armadillos,2,14135897,13049895,11,Armadillos,Azim,Tokyo Armadillos (Azim)
85,0,AFC West,Dublin,759955484,179,DUB,gr0b1198,Shamrocks,10,14829349,2770740,12,Shamrocks,Greyson,Dublin Shamrocks (Greyson)
83,0,AFC West,Houston,759955467,170,HST,tsarbalker,Oilers,2,15461355,5803724,18,Oilers,Hayden,Houston Oilers (Hayden)
88,0,AFC West,Mexico City,759955460,163,MEX,princeofpersia74,Black Knights,4,11738659,855309,14,Black Knights,Saba,Mexico City Black Knights (Saba)
87,0,AFC West,San Diego,759955466,7,SDG,shirazibomb,Bolts,1,16761358,32966,18,Chargers,Shawyon,San Diego Chargers (Shawyon)
85,1,NFC East,Austin,759955475,182,AUS,amerchant124,Thunderbirds,10,13399328,10027008,18,Thunderbirds,Asad,Austin Thunderbirds (Asad)
84,0,NFC East,Dallas,759955470,10,DAL,sockmasterrr,Cowboys,0,11581372,798338,11,Cowboys,David,Dallas Cowboys (David)
85,0,NFC East,San Antonio,759955472,142,SA,derrickchalmers,Bisons,6,14566183,1460108,14,Bisons,Derrick,San Antonio Bisons (Derrick)
85,0,NFC East,Washington,759955469,25,WAS,itsJaydeep_,Commanders,8,16758290,5903380,19,Commanders,Jaydeep,Washington Commanders (Jaydeep)
88,0,NFC North,Detroit,759955479,18,DET,ftbfreak,Lions,2,11581372,30390,11,Lions,Will,Detroit Lions (Will)
82,0,NFC North,Green Bay,759955481,19,GB,aseemarab1,Pack,0,15641886,1846565,19,Packers,Aseem,Green Bay Packers (Aseem)
86,0,NFC North,Mexico City,759955457,0,MEX,Tres_Lados,Bears,6,15089920,726570,16,Bears,Regy,Mexico City Bears (Regy)
85,0,NFC North,Minnesota,759955492,30,MIN,sherekhan147,Vikes,6,16762415,5187203,14,Vikings,Sina,Minnesota Vikings (Sina)
84,0,NFC South,Atlanta,759955473,13,ATL,zainp8732,Falcons,5,0,10685741,17,Falcons,Zain,Atlanta Falcons (Zain)
86,0,NFC South,Carolina,759955482,20,CAR,soccerdude615,Panthers,10,11711675,34255,11,Panthers,Vishal,Carolina Panthers (Vishal)
87,0,NFC South,New Orleans,759955487,26,NO,detroitkids2020,Saints,6,0,13876365,20,Saints,Arnav,New Orleans Saints (Arnav)
90,0,NFC South,Tampa Bay,759955462,5,TB,R0H1L,Bucs,5,4078133,10685741,14,Buccaneers,Rohil,Tampa Bay Buccaneers (Rohil)
84,0,NFC West,Arizona,759955463,6,ARI,bmmccracken,Cardinals,5,16777215,8847399,13,Cardinals,Brett,Arizona Cardinals (Brett)
85,0,NFC West,Los Angeles,759955485,23,LAR,iPhone5forsale,Rams,0,16765184,13716,16,Rams,Alishan,Los Angeles Rams (Alishan)
83,0,NFC West,San Francisco,759955456,14,SF,goldfire08,Niners,0,11506269,11141120,16,49ers,Ashwin,San Francisco 49ers (Ashwin)
86,0,NFC West,Seattle,759955488,27,SEA,TurkishCoconut,Seahawks,3,6929960,5426,18,Seahawks,Samin,Seattle Seahawks (Samin)
