You are writing notes for a sports show based on the current week in the Curry Up football league. I have a table containing the names and statistics for football players for the category of rushing for the current week in a league.
Please analyze the dataframe and provide the following information in bullet points:
    Interesting points or trends observed in the category's statistics.
    Top performers in the category.
Include the statistics in your response.
Here is the dataframe:
     rush20PlusYds  rushAtt  rushBrokenTackles  rushFum  rushLongest  rushTDs  rushYds  rushYdsAfterContact  rushYdsPerAtt  rushYdsPerGame               playerName
           0.0      0.0                2.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000           T.J. Hockenson
           0.0      7.0                4.0      0.0          6.0      0.0      9.0                 12.0        1.28571       30.125000             Bucky Irving
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000           Christian Kirk
           0.0      2.0                0.0      0.0          0.0      0.0     -1.0                  0.0       -0.50000        8.000000          Patrick Mahomes
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000       20.000000            Lamar Jackson
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000                Zay Jones
           1.0     14.0                1.0      0.0         40.0      1.0     68.0                 16.0        4.85714       33.666700            Jaylen Warren
           2.0     11.0                0.0      0.0         70.0      2.0    113.0                 10.0       10.27270       53.000000          Elijah Mitchell
           0.0      2.0                1.0      0.0          8.0      0.0     15.0                  7.0        7.50000       13.222200    Cordarrelle Patterson
           0.0      2.0                0.0      0.0          8.0      0.0      7.0                  0.0        3.50000       35.000000               Geno Smith
           0.0      1.0                0.0      0.0          0.0      0.0     -2.0                  1.0       -2.00000       -0.222222              Tutu Atwell
           0.0      1.0                0.0      0.0          0.0      0.0     -6.0                  0.0       -6.00000       -1.888890               Mike Evans
           0.0     14.0                7.0      0.0         16.0      0.0     61.0                 38.0        4.35714       69.444400            Derrick Henry
           1.0     10.0                6.0      0.0         68.0      2.0     79.0                 63.0        7.90000       70.888900           Saquon Barkley
           0.0      1.0                0.0      0.0          3.0      0.0      3.0                  0.0        3.00000        1.666670              Gus Edwards
           0.0      2.0                0.0      0.0          5.0      0.0     10.0                  0.0        5.00000        4.777780              Cooper Kupp
           0.0      4.0                0.0      0.0          5.0      0.0     15.0                  0.0        3.75000       28.888900              Bryce Young
           0.0      2.0                4.0      0.0          7.0      0.0      6.0                  2.0        3.00000       19.888900              Tank Bigsby
           0.0      5.0                0.0      0.0          4.0      1.0      2.0                  0.0        0.40000        5.222220               Joe Burrow
           0.0      0.0                2.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000             Keon Coleman
           0.0      5.0                2.0      0.0          5.0      0.0      2.0                  5.0        0.40000       41.555600         David Montgomery
           0.0      1.0                0.0      0.0          0.0      0.0      0.0                  1.0        0.00000        3.222220                Cam Akers
           0.0      3.0                0.0      0.0         11.0      0.0     16.0                  9.0        5.33333       25.875000         Michael Penix Jr
           2.0     28.0                4.0      0.0         70.0      2.0    208.0                 91.0        7.42857      113.000000       Kenneth Walker III
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000        Parker Washington
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000             Mark Andrews
           0.0      2.0                0.0      0.0          2.0      0.0     -1.0                  0.0       -0.50000       -0.125000          Braxton Berrios
           0.0     12.0                4.0      0.0          9.0      1.0     56.0                  2.0        4.66667       38.875000             Najee Harris
           0.0      1.0                1.0      0.0          0.0      0.0     -3.0                  0.0       -3.00000       -0.333333                 DJ Moore
           0.0      7.0                0.0      0.0          7.0      0.0     25.0                  0.0        3.57143       14.500000                   Bo Nix
           0.0      3.0                0.0      0.0          7.0      0.0     15.0                  0.0        5.00000        1.875000            Samaje Perine
           0.0      1.0                1.0      0.0          0.0      0.0     -1.0                  0.0       -1.00000       -0.125000               A.J. Brown
